school_name,city_name,state_name,cost,grad_rate,salary,website
Alaska Career College,Anchorage,AK,"$17,098",71%,"$31,200",http://www.alaskacareercollege.edu
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,"$31,825",61%,"$66,200",http://prescott.erau.edu/
Grand Canyon University,Phoenix,AZ,"$20,923",41%,"$52,700",http://www.gcu.edu
Arizona State University-Tempe,Tempe,AZ,"$11,572",66%,"$47,700",http://www.asu.edu/
Arizona State University-Polytechnic,Mesa,AZ,"$11,755",60%,"$47,700",http://www.asu.edu/
Arizona State University-Downtown Phoenix,Phoenix,AZ,"$11,581",66%,"$47,700",http://www.asu.edu/
Arizona State University-West,Glendale,AZ,"$7,619",68%,"$47,700",http://www.asu.edu/
University of Arizona,Tucson,AZ,"$16,150",60%,"$47,300",http://www.arizona.edu
University of Phoenix-Arizona,Tempe,AZ,"$18,007",17%,"$47,100",http://www.phoenix.edu
University of Advancing Technology,Tempe,AZ,"$28,445",22%,"$46,400",http://www.uat.edu
Universal Technical Institute of Arizona Inc,Avondale,AZ,"$20,016",59%,"$45,200",http://www.uti.edu
DeVry University-Arizona,Phoenix,AZ,"$29,388",28%,"$44,100",https://www.devry.edu
Refrigeration School Inc,Phoenix,AZ,"$22,757",72%,"$41,500",https://www.refrigerationschool.com
Argosy University-Phoenix Online Division,Phoenix,AZ,"$26,459",5%,"$41,400",http://www.argosy.edu/locations/online
Northern Arizona University,Flagstaff,AZ,"$14,664",53%,"$40,100",https://nau.edu/
Rio Salado College,Tempe,AZ,"$7,067",4%,"$39,500",http://www.rio.maricopa.edu
Chandler-Gilbert Community College,Chandler,AZ,"$7,981",23%,"$38,600",http://www.cgc.maricopa.edu
Mesa Community College,Mesa,AZ,"$7,497",14%,"$36,000",http://www.mesacc.edu
Scottsdale Community College,Scottsdale,AZ,"$7,861",21%,"$35,600",http://www.scottsdalecc.edu
Paradise Valley Community College,Phoenix,AZ,"$7,525",21%,"$35,600",http://www.pvc.maricopa.edu
Western International University,Tempe,AZ,"$14,975",8%,"$35,000",http://www.west.edu
John Brown University,Siloam Springs,AR,"$18,777",63%,"$45,800",http://www.jbu.edu
University of Arkansas,Fayetteville,AR,"$15,648",64%,"$44,900",http://www.uark.edu
Ouachita Baptist University,Arkadelphia,AR,"$20,396",68%,"$41,200",http://www.obu.edu
Harding University,Searcy,AR,"$17,803",64%,"$40,900",http://www.harding.edu
Hendrix College,Conway,AR,"$21,779",69%,"$39,700",http://www.hendrix.edu
Lyon College,Batesville,AR,"$10,434",39%,"$38,600",http://www.lyon.edu
University of Central Arkansas,Conway,AR,"$13,231",43%,"$38,300",http://www.uca.edu
Henderson State University,Arkadelphia,AR,"$10,575",34%,"$35,700",http://www.hsu.edu
Southern Arkansas University Main Campus,Magnolia,AR,"$11,452",35%,"$35,700",https://www.saumag.edu
Central Baptist College,Conway,AR,"$14,512",29%,"$35,300",http://www.cbc.edu
University of Arkansas at Little Rock,Little Rock,AR,"$13,357",30%,"$34,900",http://ualr.edu/www/
Arkansas Tech University,Russellville,AR,"$11,614",40%,"$34,100",http://www.atu.edu
University of the Ozarks,Clarksville,AR,"$16,344",42%,"$33,900",https://www.ozarks.edu
Williams Baptist College,Walnut Ridge,AR,"$15,882",38%,"$33,100",http://www.wbcoll.edu
NorthWest Arkansas Community College,Bentonville,AR,"$6,431",16%,"$32,800",http://www.nwacc.edu
Arkansas State University-Mountain Home,Mountain Home,AR,"$8,870",48%,"$32,200",http://www.asumh.edu
Arkansas State University-Main Campus,Jonesboro,AR,"$12,418",43%,"$32,200",http://www.astate.edu/
University of Arkansas at Monticello,Monticello,AR,"$10,154",26%,"$31,500",http://www.uamont.edu/
University of Arkansas-Fort Smith,Fort Smith,AR,"$8,568",24%,"$31,000",http://uafs.edu/
Arkansas State University-Beebe,Beebe,AR,"$6,610",33%,"$29,400",http://www.asub.edu
Stanford University,Stanford,CA,"$14,155",94%,"$94,000",http://www.stanford.edu/
Harvey Mudd College,Claremont,CA,"$30,994",93%,"$88,800",https://www.hmc.edu
California Institute of Technology,Pasadena,CA,"$24,702",92%,"$85,900",http://www.caltech.edu
California State University Maritime Academy,Vallejo,CA,"$16,192",60%,"$82,900",https://www.csum.edu
University of Southern California,Los Angeles,CA,"$29,977",92%,"$74,000",http://www.usc.edu/
Claremont McKenna College,Claremont,CA,"$29,961",92%,"$72,900",http://www.cmc.edu
Santa Clara University,Santa Clara,CA,"$36,820",87%,"$72,600",http://www.scu.edu
University of the Pacific,Stockton,CA,"$30,829",67%,"$71,700",http://www.pacific.edu
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,"$18,845",78%,"$66,900",http://calpoly.edu
Pepperdine University,Malibu,CA,"$34,808",85%,"$65,500",http://www.pepperdine.edu/
University of California-Berkeley,Berkeley,CA,"$14,468",92%,"$64,700",http://www.berkeley.edu
University of San Francisco,San Francisco,CA,"$31,254",72%,"$62,300",https://www.usfca.edu
Loyola Marymount University,Los Angeles,CA,"$38,244",81%,"$61,300",http://www.lmu.edu
University of California-Los Angeles,Los Angeles,CA,"$13,572",91%,"$60,700",http://www.ucla.edu/
University of San Diego,San Diego,CA,"$33,821",79%,"$60,000",http://www.sandiego.edu
University of California-San Diego,La Jolla,CA,"$14,775",87%,"$59,900",http://www.ucsd.edu
National University,La Jolla,CA,"$22,652",36%,"$59,400",http://www.nu.edu
University of California-Irvine,Irvine,CA,"$13,712",88%,"$58,400",http://www.uci.edu/
University of California-Davis,Davis,CA,"$15,309",85%,"$58,200",http://www.ucdavis.edu
Pomona College,Claremont,CA,"$12,873",96%,"$58,100",http://www.pomona.edu
Colorado School of Mines,Golden,CO,"$27,013",77%,"$84,900",http://www.mines.edu
University of Denver,Denver,CO,"$29,453",78%,"$56,500",http://www.du.edu
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,"$14,816",47%,"$56,400",http://www.ucdenver.edu/
Regis University,Denver,CO,"$24,204",70%,"$56,400",http://www.regis.edu/
University of Colorado Boulder,Boulder,CO,"$23,127",71%,"$50,800",http://www.colorado.edu
Colorado State University-Fort Collins,Fort Collins,CO,"$18,318",67%,"$47,100",http://www.colostate.edu
University of Phoenix-Colorado,Lone Tree,CO,"$17,695",18%,"$47,100",http://www.phoenix.edu
Spartan College of Aeronautics and Technology,Broomfield,CO,"$21,268",48%,"$46,300",http://www.spartan.edu
Colorado College,Colorado Springs,CO,"$23,394",87%,"$45,400",http://www.coloradocollege.edu
DeVry University-Colorado,Westminster,CO,"$28,699",16%,"$44,100",https://www.devry.edu
University of Colorado Colorado Springs,Colorado Springs,CO,"$16,029",45%,"$43,900",https://www.uccs.edu
Colorado Technical University-Colorado Springs,Colorado Springs,CO,"$20,066",20%,"$42,200",http://www.coloradotech.edu/Colorado-Springs
University of Northern Colorado,Greeley,CO,"$19,387",48%,"$42,000",http://www.unco.edu
Metropolitan State University of Denver,Denver,CO,"$13,270",26%,"$40,200",http://www.msudenver.edu/
Colorado Christian University,Lakewood,CO,"$23,849",51%,"$39,300",http://WWW.CCU.EDU
Western State Colorado University,Gunnison,CO,"$16,028",44%,"$39,000",http://www.western.edu
Johnson & Wales University-Denver,Denver,CO,"$23,701",58%,"$38,800",http://www.jwu.edu/campuses/denver/index.html
Colorado Northwestern Community College,Rangely,CO,"$12,405",29%,"$38,400",http://www.cncc.edu
Arapahoe Community College,Littleton,CO,"$8,850",19%,"$38,100",http://www.arapahoe.edu
Colorado State University-Pueblo,Pueblo,CO,"$14,068",33%,"$37,500",https://www.csupueblo.edu
Yale University,New Haven,CT,"$19,507",97%,"$83,200",http://www.yale.edu
Fairfield University,Fairfield,CT,"$36,841",82%,"$72,100",http://fairfield.edu
Trinity College,Hartford,CT,"$30,530",85%,"$66,100",http://www.trincoll.edu
Quinnipiac University,Hamden,CT,"$37,626",77%,"$63,300",http://www.qu.edu
University of Connecticut-Waterbury Campus,Waterbury,CT,"$8,600",58%,"$58,400",http://uconn.edu/
University of Connecticut-Avery Point,Groton,CT,"$10,134",54%,"$58,400",http://uconn.edu/
University of Connecticut-Stamford,Stamford,CT,"$8,383",58%,"$58,400",http://uconn.edu/
University of Connecticut,Storrs,CT,"$21,223",83%,"$58,400",http://uconn.edu/
Sacred Heart University,Fairfield,CT,"$38,951",62%,"$56,000",http://www.sacredheart.edu
Connecticut College,New London,CT,"$30,795",84%,"$54,900",http://www.conncoll.edu
Wesleyan University,Middletown,CT,"$24,626",93%,"$54,700",http://www.wesleyan.edu
University of Saint Joseph,West Hartford,CT,"$29,655",60%,"$52,800",http://www.usj.edu
University of New Haven,West Haven,CT,"$30,976",55%,"$52,100",http://www.newhaven.edu
Albertus Magnus College,New Haven,CT,"$26,159",57%,"$51,200",http://www.albertus.edu
Central Connecticut State University,New Britain,CT,"$16,576",55%,"$47,900",http://www.ccsu.edu
University of Hartford,West Hartford,CT,"$29,611",57%,"$47,800",http://www.hartford.edu
Eastern Connecticut State University,Willimantic,CT,"$17,542",55%,"$46,400",http://www.easternct.edu/
Southern Connecticut State University,New Haven,CT,"$16,931",52%,"$45,300",http://www.southernct.edu
Western Connecticut State University,Danbury,CT,"$18,237",48%,"$45,200",http://www.wcsu.edu
University of Bridgeport,Bridgeport,CT,"$24,272",31%,"$43,100",http://www.bridgeport.edu
University of Delaware,Newark,DE,"$16,736",80%,"$57,000",http://www.udel.edu/
Goldey-Beacom College,Wilmington,DE,"$15,021",62%,"$44,500",http://www.gbc.edu
Wesley College,Dover,DE,"$23,160",22%,"$42,900",http://www.wesley.edu
Wilmington University,New Castle,DE,"$15,174",28%,"$42,500",http://www.wilmu.edu
Delaware State University,Dover,DE,"$17,956",42%,"$35,800",http://www.desu.edu
Delaware Technical Community College-Terry,Dover,DE,"$7,381",13%,"$31,300",https://www.dtcc.edu/our-campuses/dover
Georgetown University,Washington,DC,"$29,283",94%,"$93,500",http://www.georgetown.edu
George Washington University,Washington,DC,"$35,282",83%,"$69,600",http://www.gwu.edu
American University,Washington,DC,"$35,325",81%,"$61,000",http://WWW.AMERICAN.EDU
Catholic University of America,Washington,DC,"$34,542",70%,"$56,800",https://www.catholic.edu
Howard University,Washington,DC,"$24,156",61%,"$49,200",http://www.howard.edu
University of the Potomac-Washington DC Campus,Washington,DC,"$21,390",33%,"$47,600",http://www.potomac.edu
Strayer University-Global Region,Washington,DC,"$24,717",12%,"$45,900",http://www.strayer.edu
Strayer University-District of Columbia,Washington,DC,"$25,169",24%,"$45,900",http://www.strayer.edu/district-columbia/washington
Trinity Washington University,Washington,DC,"$16,113",41%,"$38,800",http://www.trinitydc.edu
University of the District of Columbia,Washington,DC,"$15,532",14%,"$35,200",http://www.udc.edu
Gallaudet University,Washington,DC,"$19,384",45%,"$31,000",http://www.gallaudet.edu
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,"$19,270",26%,"$66,200",http://worldwide.erau.edu/
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,"$30,939",55%,"$66,200",http://daytonabeach.erau.edu/
University of Miami,Coral Gables,FL,"$30,136",82%,"$60,100",http://www.miami.edu/
Florida Institute of Technology,Melbourne,FL,"$29,128",58%,"$56,600",http://www.fit.edu
Adventist University of Health Sciences,Orlando,FL,"$18,345",22%,"$56,000",http://www.adu.edu
University of Florida,Gainesville,FL,"$12,159",87%,"$56,000",http://www.ufl.edu/
Jacksonville University,Jacksonville,FL,"$30,113",41%,"$50,500",http://www.ju.edu/index.php
St Thomas University,Miami Gardens,FL,"$17,019",43%,"$49,400",http://www.stu.edu
The University of Tampa,Tampa,FL,"$28,888",57%,"$48,600",http://www.ut.edu
University of Phoenix-Florida,Orlando,FL,"$18,249",17%,"$47,100",http://www.phoenix.edu
Florida State University,Tallahassee,FL,"$14,985",80%,"$46,400",http://www.fsu.edu
Florida International University,Miami,FL,"$13,398",57%,"$46,300",http://www.fiu.edu
Strayer University-Florida,Tampa,FL,"$24,905",37%,"$45,900",http://www.strayer.edu/florida/tampa-westshore
Barry University,Miami,FL,"$20,198",32%,"$45,800",http://www.barry.edu
Rollins College,Winter Park,FL,"$31,866",71%,"$45,700",http://www.rollins.edu
University of Central Florida,Orlando,FL,"$15,409",70%,"$45,400",http://www.ucf.edu/
Nova Southeastern University,Fort Lauderdale,FL,"$24,663",47%,"$45,300",http://www.nova.edu
DeVry University-Florida,Miramar,FL,"$31,651",29%,"$44,100",https://www.devry.edu
Saint Leo University,Saint Leo,FL,"$20,389",43%,"$43,800",http://www.saintleo.edu
University of South Florida-Main Campus,Tampa,FL,"$11,249",68%,"$43,500",http://www.usf.edu
Georgia Institute of Technology-Main Campus,Atlanta,GA,"$11,639",86%,"$79,100",http://www.gatech.edu
Emory University,Atlanta,GA,"$25,572",90%,"$66,000",http://www.emory.edu
Augusta University,Augusta,GA,"$13,467",28%,"$62,300",http://www.augusta.edu
University of Georgia,Athens,GA,"$13,822",85%,"$50,500",http://www.uga.edu
Mercer University,Macon,GA,"$20,704",64%,"$48,200",http://www.mercer.edu
University of Phoenix-Georgia,Sandy Springs,GA,"$18,340",14%,"$47,100",http://www.phoenix.edu
Spelman College,Atlanta,GA,"$36,362",76%,"$47,000",http://www.spelman.edu
Strayer University-Georgia,Atlanta,GA,"$25,995",22%,"$45,900",http://www.strayer.edu/georgia/chamblee
DeVry University-Georgia,Decatur,GA,"$27,536",22%,"$44,100",https://www.devry.edu
Georgia State University,Atlanta,GA,"$14,773",53%,"$43,300",http://www.gsu.edu
Shorter University,Rome,GA,"$18,019",41%,"$43,200",http://su.shorter.edu
Oglethorpe University,Atlanta,GA,"$20,165",50%,"$42,100",http://www.oglethorpe.edu
Brenau University,Gainesville,GA,"$18,014",46%,"$42,000",http://www.brenau.edu
Georgia Southern University,Statesboro,GA,"$16,480",51%,"$41,900",http://www.georgiasouthern.edu
University of North Georgia,Dahlonega,GA,"$9,362",26%,"$41,900",http://www.ung.edu
Morehouse College,Atlanta,GA,"$33,184",51%,"$41,800",http://www.morehouse.edu
Covenant College,Lookout Mountain,GA,"$22,721",66%,"$41,200",http://www.covenant.edu
Piedmont College,Demorest,GA,"$16,438",47%,"$40,600",http://www.piedmont.edu
Georgia College & State University,Milledgeville,GA,"$19,370",60%,"$40,500",http://www.gcsu.edu/
Berry College,Mount Berry,GA,"$23,058",65%,"$40,000",http://www.berry.edu
Hawaii Pacific University,Honolulu,HI,"$27,750",45%,"$49,900",https://www.hpu.edu/
University of Phoenix-Hawaii,Honolulu,HI,"$17,530",24%,"$47,100",http://www.phoenix.edu
University of Hawaii at Manoa,Honolulu,HI,"$13,705",58%,"$45,800",http://www.manoa.hawaii.edu
Brigham Young University-Hawaii,Laie,HI,"$11,612",53%,"$42,200",http://www.byuh.edu/
Kauai Community College,Lihue,HI,"$7,132",22%,"$39,000",http://www.kauai.hawaii.edu
University of Hawaii-West Oahu,Kapolei,HI,"$8,728",23%,"$38,600",http://www.uhwo.hawaii.edu
Chaminade University of Honolulu,Honolulu,HI,"$18,161",52%,"$38,400",http://www.chaminade.edu
University of Hawaii at Hilo,Hilo,HI,"$11,912",37%,"$37,900",http://www.hilo.hawaii.edu
Kapiolani Community College,Honolulu,HI,"$5,779",17%,"$37,200",https://www.kapiolani.hawaii.edu
Honolulu Community College,Honolulu,HI,"$5,958",17%,"$35,700",http://www.honolulu.hawaii.edu
Leeward Community College,Pearl City,HI,"$3,781",16%,"$33,200",http://www.leeward.hawaii.edu
University of Hawaii Maui College,Kahului,HI,"$8,772",13%,"$29,900",http://maui.hawaii.edu
Windward Community College,Kaneohe,HI,"$8,501",16%,"$29,600",https://www.windward.hawaii.edu
Pacific Rim Christian University,Honolulu,HI,"$16,754",43%,"$29,500",http://pacrim.edu
Remington College-Honolulu Campus,Honolulu,HI,"$20,551",54%,"$26,800",http://www.remingtoncollege.edu/honolulu-hawaii-colleges-career-schools
Hawaii Community College,Hilo,HI,"$8,690",21%,"$26,600",http://www.hawaii.hawaii.edu
Brigham Young University-Idaho,Rexburg,ID,"$8,518",59%,"$42,700",http://www.byui.edu
University of Idaho,Moscow,ID,"$14,191",57%,"$41,900",http://www.uidaho.edu
The College of Idaho,Caldwell,ID,"$19,686",62%,"$40,000",http://www.collegeofidaho.edu
Northwest Nazarene University,Nampa,ID,"$18,203",49%,"$39,600",http://www.nnu.edu
Boise State University,Boise,ID,"$14,205",39%,"$37,100",http://www.boisestate.edu
Idaho State University,Pocatello,ID,"$16,481",30%,"$35,700",http://www.isu.edu/
Lewis-Clark State College,Lewiston,ID,"$11,027",30%,"$34,600",http://www.lcsc.edu
North Idaho College,Coeur d'Alene,ID,"$7,116",23%,"$31,000",http://www.nic.edu/
Boise Bible College,Boise,ID,"$18,198",51%,"$29,400",http://www.boisebible.edu
College of Southern Idaho,Twin Falls,ID,"$6,543",20%,"$29,300",http://www.csi.edu
Stevens-Henager College,Boise,ID,"$24,120",41%,"$28,800",http://www.stevenshenager.edu/
Carrington College-Boise,Boise,ID,"$27,140",51%,"$27,400",http://www.carrington.edu
College of Eastern Idaho,Idaho Falls,ID,"$13,242",57%,"$26,200",http://www.eitc.edu
Illinois Institute of Technology,Chicago,IL,"$21,803",72%,"$69,100",http://web.iit.edu/
Northwestern University,Evanston,IL,"$26,423",93%,"$69,000",http://www.northwestern.edu
University of Chicago,Chicago,IL,"$19,510",93%,"$68,100",http://WWW.UCHICAGO.EDU
University of Illinois at Urbana-Champaign,Champaign,IL,"$18,243",85%,"$61,500",http://www.illinois.edu/
Illinois Wesleyan University,Bloomington,IL,"$27,647",82%,"$59,100",http://www.iwu.edu
University of Illinois at Chicago,Chicago,IL,"$13,562",59%,"$54,300",http://www.uic.edu
Loyola University Chicago,Chicago,IL,"$33,764",74%,"$54,100",http://www.luc.edu
Bradley University,Peoria,IL,"$26,407",74%,"$53,600",http://www.bradley.edu
DePaul University,Chicago,IL,"$29,752",73%,"$53,300",https://www.depaul.edu
University of St Francis,Joliet,IL,"$17,854",64%,"$53,100",http://www.stfrancis.edu
Augustana College,Rock Island,IL,"$23,517",76%,"$52,000",http://www.augustana.edu
Morrison Institute of Technology,Morrison,IL,"$18,143",73%,"$51,400",http://www.morrisontech.edu
Lake Forest College,Lake Forest,IL,"$23,121",71%,"$50,900",http://www.lakeforest.edu
Benedictine University,Lisle,IL,"$20,508",52%,"$49,000",http://www.ben.edu
Lewis University,Romeoville,IL,"$20,117",64%,"$48,800",http://www.lewisu.edu
Wheaton College,Wheaton,IL,"$25,101",90%,"$48,400",http://www.wheaton.edu
Elmhurst College,Elmhurst,IL,"$18,349",68%,"$48,300",http://www.elmhurst.edu
Saint Xavier University,Chicago,IL,"$15,110",49%,"$48,200",http://WWW.SXU.EDU
North Central College,Naperville,IL,"$23,153",68%,"$47,800",http://northcentralcollege.edu
University of Phoenix-Illinois,Schaumburg,IL,"$18,146",8%,"$47,100",http://www.phoenix.edu
Rose-Hulman Institute of Technology,Terre Haute,IN,"$37,725",80%,"$80,900",http://www.rose-hulman.edu
University of Notre Dame,Notre Dame,IN,"$29,313",96%,"$78,400",http://www.nd.edu
Butler University,Indianapolis,IN,"$31,211",75%,"$56,600",http://www.butler.edu
Wabash College,Crawfordsville,IN,"$21,644",73%,"$56,300",http://www.wabash.edu
Purdue University-Main Campus,West Lafayette,IN,"$13,545",75%,"$55,100",http://www.purdue.edu
DePauw University,Greencastle,IN,"$22,066",83%,"$54,000",http://www.depauw.edu
Indiana Wesleyan University-Marion,Marion,IN,"$18,773",62%,"$49,900",https://www.indwes.edu
Valparaiso University,Valparaiso,IN,"$20,871",66%,"$48,500",http://www.valpo.edu
Indiana University-Bloomington,Bloomington,IN,"$14,303",77%,"$47,700",http://www.iub.edu
Hanover College,Hanover,IN,"$21,886",69%,"$46,400",http://www.hanover.edu
Saint Mary's College,Notre Dame,IN,"$23,016",78%,"$46,200",http://www.saintmarys.edu
Franklin College,Franklin,IN,"$21,098",63%,"$44,100",http://www.franklincollege.edu
DeVry University-Indiana,Merrillville,IN,"$30,382",16%,"$44,100",https://www.devry.edu
Trine University,Angola,IN,"$25,371",56%,"$43,300",http://www.trine.edu
Marian University,Indianapolis,IN,"$20,575",56%,"$43,300",http://www.marian.edu
Indiana Institute of Technology,Fort Wayne,IN,"$25,184",32%,"$42,700",http://www.indianatech.edu
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,"$12,417",45%,"$42,500",http://www.iupui.edu
Calumet College of Saint Joseph,Whiting,IN,"$12,207",28%,"$42,000",http://www.ccsj.edu
University of Evansville,Evansville,IN,"$21,336",69%,"$41,800",http://www.evansville.edu/
Ball State University,Muncie,IN,"$15,521",59%,"$41,100",http://www.bsu.edu
Drake University,Des Moines,IA,"$27,347",77%,"$58,300",http://www.drake.edu
University of Iowa,Iowa City,IA,"$14,192",72%,"$51,900",http://www.uiowa.edu
Iowa State University,Ames,IA,"$13,947",73%,"$50,700",http://www.iastate.edu
Grinnell College,Grinnell,IA,"$24,136",86%,"$49,100",http://www.grinnell.edu
Simpson College,Indianola,IA,"$22,964",65%,"$47,500",http://www.simpson.edu
Luther College,Decorah,IA,"$24,612",78%,"$47,400",http://www.luther.edu
Saint Ambrose University,Davenport,IA,"$23,766",63%,"$47,300",http://www.sau.edu
Mercy College of Health Sciences,Des Moines,IA,"$22,084",43%,"$47,000",http://www.mchs.edu
Coe College,Cedar Rapids,IA,"$20,896",67%,"$46,200",http://www.coe.edu
Wartburg College,Waverly,IA,"$22,599",69%,"$45,400",http://www.wartburg.edu
Mount Mercy University,Cedar Rapids,IA,"$19,894",62%,"$45,300",http://www.mtmercy.edu
Central College,Pella,IA,"$21,233",66%,"$44,700",http://www.central.edu
University of Northern Iowa,Cedar Falls,IA,"$15,666",66%,"$44,600",http://www.uni.edu
Loras College,Dubuque,IA,"$17,540",70%,"$44,600",http://www.loras.edu
Morningside College,Sioux City,IA,"$21,738",54%,"$43,700",https://www.morningside.edu
Grand View University,Des Moines,IA,"$19,132",48%,"$43,200",http://www.grandview.edu
Northwest Iowa Community College,Sheldon,IA,"$10,538",57%,"$43,100",http://www.nwicc.edu
Cornell College,Mount Vernon,IA,"$26,617",68%,"$43,000",http://www.cornellcollege.edu
Upper Iowa University,Fayette,IA,"$22,405",43%,"$42,900",https://www.uiu.edu
William Penn University,Oskaloosa,IA,"$20,755",33%,"$42,100",http://www.wmpenn.edu
Baker University,Baldwin City,KS,"$21,224",58%,"$51,300",https://www.bakeru.edu
University of Kansas,Lawrence,KS,"$18,234",62%,"$48,800",http://www.ku.edu
Southwestern College,Winfield,KS,"$22,361",40%,"$46,400",http://www.sckans.edu
Kansas State University,Manhattan,KS,"$17,023",62%,"$45,600",http://www.k-state.edu
Newman University,Wichita,KS,"$14,347",50%,"$44,000",http://www.newmanu.edu
MidAmerica Nazarene University,Olathe,KS,"$18,374",56%,"$42,900",http://www.mnu.edu
Friends University,Wichita,KS,"$18,348",38%,"$41,800",http://www.friends.edu
Ottawa University-Ottawa,Ottawa,KS,"$20,410",39%,"$41,500",http://www.ottawa.edu
Hesston College,Hesston,KS,"$19,902",52%,"$41,000",http://www.hesston.edu
Bethel College-North Newton,North Newton,KS,"$22,038",59%,"$40,800",http://www.bethelks.edu
Tabor College,Hillsboro,KS,"$18,827",45%,"$40,800",http://tabor.edu/
Wichita State University,Wichita,KS,"$17,640",44%,"$40,400",http://www.wichita.edu
Kansas Wesleyan University,Salina,KS,"$22,098",38%,"$40,300",http://www.kwu.edu
Washburn University,Topeka,KS,"$11,455",35%,"$40,300",http://www.washburn.edu
Bethany College,Lindsborg,KS,"$24,173",43%,"$40,200",http://www.bethanylb.edu
Benedictine College,Atchison,KS,"$24,057",66%,"$40,100",http://www.benedictine.edu
North Central Kansas Technical College,Beloit,KS,"$12,251",72%,"$39,600",http://www.ncktc.edu
Manhattan Area Technical College,Manhattan,KS,"$12,411",45%,"$39,400",http://www.manhattantech.edu
Pittsburg State University,Pittsburg,KS,"$13,446",48%,"$39,400",http://www.pittstate.edu
McPherson College,McPherson,KS,"$17,754",49%,"$39,300",http://www.mcpherson.edu
Thomas More College,Crestview Hills,KY,"$18,816",49%,"$49,400",http://www.thomasmore.edu
Bellarmine University,Louisville,KY,"$23,878",65%,"$45,700",http://www.bellarmine.edu
Centre College,Danville,KY,"$22,338",86%,"$45,500",http://www.centre.edu
Spalding University,Louisville,KY,"$21,436",46%,"$45,100",https://www.spalding.edu
University of Kentucky,Lexington,KY,"$17,617",63%,"$45,100",http://www.uky.edu
Transylvania University,Lexington,KY,"$22,826",74%,"$44,100",http://www.transy.edu
Georgetown College,Georgetown,KY,"$19,953",57%,"$43,000",http://www.georgetowncollege.edu
Galen College of Nursing-Louisville,Louisville,KY,"$24,831",69%,"$42,000",http://www.galencollege.edu/louisville
University of Louisville,Louisville,KY,"$15,968",53%,"$41,800",http://www.louisville.edu
Brescia University,Owensboro,KY,"$12,088",29%,"$40,100",http://www.brescia.edu
Northern Kentucky University,Highland Heights,KY,"$8,446",39%,"$37,500",http://www.nku.edu
Murray State University,Murray,KY,"$10,322",49%,"$37,100",http://www.murraystate.edu
Kentucky Wesleyan College,Owensboro,KY,"$12,147",39%,"$36,700",https://kwc.edu/
Eastern Kentucky University,Richmond,KY,"$11,150",41%,"$36,100",http://www.eku.edu
University of the Cumberlands,Williamsburg,KY,"$17,901",40%,"$35,100",http://www.ucumberlands.edu
Asbury University,Wilmore,KY,"$27,061",63%,"$34,900",http://www.asbury.edu
Western Kentucky University,Bowling Green,KY,"$11,578",44%,"$34,700",http://www.wku.edu
